Tag ID,EventID,Type,Start-Ping,Seconds,UTCMilliseconds,f1,f2,snr,RMS,ZeroPeak,PeakPeak,SEL,file_name,sec_since_file_start,sampling_rate,samp_since_file_start,sec_since_tagon,file_start_time,tagon_time,correction
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:29:35,0.54,461,11535.18,12448.46,0.62,52.09,64.13,70.15,49.46,Zica-20191012-144029005,9669.46,96000,928268256,81936.7,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:29:40,0.67,637,11634.45,12388.9,1.13,50.79,62.81,68.83,49.08,Zica-20191012-144029005,9674.63,96000,928765152,81941.88,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:29:43,0.56,535,11574.89,12329.34,1.63,50.93,64.42,70.44,48.45,Zica-20191012-144029005,9677.53,96000,929043360,81944.78,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:30:32,0.69,922,11555.03,12428.61,2.74,52.47,65.63,71.64,50.87,Zica-20191012-144029005,9725.92,96000,933688512,81993.17,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:30:37,0.71,298,11555.03,12388.9,1.35,50.9,63.01,69.03,49.41,Zica-20191012-144029005,9731.29,96000,934204608,81998.54,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:30:40,0.6,178,11594.74,12408.75,1.42,50.95,63.16,69.18,48.74,Zica-20191012-144029005,9734.17,96000,934481088,82001.42,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:30:45,0.71,190,11674.16,12468.32,0.88,50.31,62.81,68.83,48.82,Zica-20191012-144029005,9739.19,96000,934962240,82006.43,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:30:48,0.63,34,11594.74,12488.17,0.87,50.67,63.15,69.17,48.72,Zica-20191012-144029005,9742.03,96000,935235264,82009.28,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:30:54,0.45,103,11753.57,12488.17,0.45,49.72,61.55,67.57,46.3,Zica-20191012-144029005,9748.1,96000,935817888,82015.35,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:31:10,0.51,777,11614.59,12408.75,2.41,52.6,63.02,69.04,49.67,Zica-20191012-144029005,9763.77,96000,937322592,82031.02,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:31:37,0.6,872,11654.3,12329.34,2.51,51.01,62.53,68.55,48.79,Zica-20191012-144029005,9790.87,96000,939923712,82058.12,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
Zica-20191012-144029,20191013-152624,Echosounder,10/13/2019 15:31:42,0.52,48,11694.01,12388.9,3.01,51.61,62.13,68.15,48.84,Zica-20191012-144029005,9796.04,96000,940420608,82063.29,2019-10-13T12:48:26Z,2019-10-12T16:43:59Z,13.28
