TagID,tagon_time,Type,EventID,start_time,sec_since_tagon,duration,BB_RMS,SPL_rms_fc_1000,SPL_rms_fc_1250,SPL_rms_fc_1600,SPL_rms_fc_2000,SPL_rms_fc_2500,SPL_rms_fc_3150,SPL_rms_fc_4000,SPL_rms_fc_5000,SPL_rms_fc_6300,SPL_rms_fc_8000
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:13:10Z,98940.85,0.91,101.53255326655818,NA,NA,NA,NA,76.4811291015748,101.082846358272,91.3208821863631,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:13:35Z,98965.32,0.94,98.99577480583798,NA,NA,NA,NA,74.9716060360071,98.2946659353565,90.4356927656012,NA,76.6354617587811,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:13:59Z,98989.81,0.92,102.28763191773119,NA,NA,NA,NA,78.7064827266353,102.018407698216,89.7481065716269,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:14:24Z,99014.24,0.94,101.81840735346492,NA,NA,NA,NA,78.3182566013623,101.531221851666,89.5651276023195,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:14:48Z,99038.7,0.85,100.0835236245458,NA,NA,NA,NA,75.6492704136496,99.6653114433899,89.5383779788235,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:15:13Z,99063.19,0.91,96.54603433861146,NA,NA,NA,NA,73.7299132542262,96.1947335002584,85.1479908041015,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:15:37Z,99087.62,0.92,100.47069046956251,NA,NA,NA,NA,75.7821573929393,99.9657397760425,90.6528762428371,73.6572488904187,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:16:02Z,99112.04,1.09,102.70775290320967,NA,NA,NA,72.7857135207138,78.9061121464142,102.255155076496,92.4289831436041,NA,NA,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:16:26Z,99136.56,0.97,102.81048612347696,NA,NA,NA,NA,78.7635574540906,102.407132664972,92.03107563894,NA,73.540991362513,NA
Zica-20191012-144029,2019-10-12T16:43:59Z,MFA,20191013-200509,2019-10-13T20:16:51Z,99161.03,0.95,96.31246659220736,NA,NA,NA,NA,73.9087434478203,95.7535941589076,86.9194360452654,NA,NA,NA
