dive_start_sec,dive_end_sec,max_depth,tag_id,dive_dur_sec,lat_initial,lon_initial,lat_final,lon_final,lat_last_known,lon_last_known,start_UTC,start_local,solar_phase,distance_traveled_km,bathy,bathy_slope,bathy_aspect,n_clicks,click_start_sec,click_end_sec,click_dur_sec,dive_to_click1_sec,focal_click_UID,focal_clicks,n_focal_clicks,nonfocal_click_UID,click_start_depth,click_end_depth,click_min_depth,click_max_depth,n_buzzes,buzz_mean_depth,buzz_median_depth,buzz_sd_depth,buzz_iqr_depth,buzz_min_depth,buzz_max_depth,n_mfa_pings,mfa_bb_rms_min,mfa_bb_rms_median,mfa_bb_rms_mean
98997,100523,368.2517411233328,Zica-20180113-173188,1526,32.706,-118.811,32.706,-118.811,32.706,-118.811,2018-01-15T00:17:57Z,2018-01-15T00:17:57Z,Day,0.518841980454056,1349.996,8.6,226.58283778856187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100662,102031,267.6701820841568,Zica-20180113-173188,1369,32.7076,-118.8058,32.7076,-118.8058,32.7076,-118.8058,2018-01-15T00:45:42Z,2018-01-15T00:45:42Z,Dusk,0.4438105032611491,1374.641,8.06,231.17889905517634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102155,102993,199.2535312059668,Zica-20180113-173188,838,32.7096,-118.8017,32.7096,-118.8017,32.7096,-118.8017,2018-01-15T01:10:35Z,2018-01-15T01:10:35Z,Dusk,NA,1393.519,7.82,232.32911892842395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103194,107092,1442.206430141962,Zica-20180113-173188,3898,32.7164,-118.7843,32.7164,-118.7843,32.7164,-118.7843,2018-01-15T01:27:54Z,2018-01-15T01:27:54Z,Dusk,0.6169483158064727,1422.499,5.6,227.36290947452653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107251,108220,202.08893299367577,Zica-20180113-173188,969,32.7217,-118.7823,32.7217,-118.7823,32.7217,-118.7823,2018-01-15T02:35:31Z,2018-01-15T02:35:31Z,Night,0.5993882608513037,1419.134,5.56,102.87001436087644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108351,109505,188.20140983257483,Zica-20180113-173188,1154,32.7257,-118.778,32.7257,-118.778,32.7257,-118.778,2018-01-15T02:53:51Z,2018-01-15T02:53:51Z,Night,0.3007578397928634,1403.972,6.48,38.3088370163469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109617,110415,29.07601025815912,Zica-20180113-173188,798,32.728,-118.7797,32.728,-118.7797,32.728,-118.7797,2018-01-15T03:14:57Z,2018-01-15T03:14:57Z,Night,NA,1403.723,6.34,34.116095962895145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111808,112494,239.15219497009767,Zica-20180113-173188,686,32.731,-118.7692,32.731,-118.7692,32.731,-118.7692,2018-01-15T03:51:28Z,2018-01-15T03:51:28Z,Night,0.3067376797573397,1353.863,8.24,40.75903748056032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112626,115855,1111.5687411420688,Zica-20180113-173188,3229,32.7335,-118.7678,32.7335,-118.7678,32.7335,-118.7678,2018-01-15T04:05:06Z,2018-01-15T04:05:06Z,Night,1.255787522402586,1341.36,8.7,40.05928472447994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116014,117093,351.3558520174597,Zica-20180113-173188,1079,32.7439,-118.7625,32.7439,-118.7625,32.7439,-118.7625,2018-01-15T05:01:34Z,2018-01-15T05:01:34Z,Night,0.8215092814966055,1289.678,9.4,47.95799280808791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117232,118368,238.1334933808379,Zica-20180113-173188,1136,32.751,-118.76,32.751,-118.76,32.751,-118.76,2018-01-15T05:21:52Z,2018-01-15T05:21:52Z,Night,0.19061479668594553,1262.543,7.62,54.62933245060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118510,119476,163.73567573992847,Zica-20180113-173188,966,32.7527,-118.7597,32.7527,-118.7597,32.7527,-118.7597,2018-01-15T05:43:10Z,2018-01-15T05:43:10Z,Night,0.3839681165445968,1258.723,7.34,57.23774082984556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119584,120587,202.15227034827217,Zica-20180113-173188,1003,32.7509,-118.7562,32.7509,-118.7562,32.7509,-118.7562,2018-01-15T06:01:04Z,2018-01-15T06:01:04Z,Night,0.8705682940414036,1242.168,7.52,55.686640962494096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120783,123756,1197.2199318515814,Zica-20180113-173188,2973,32.7435,-118.7531,32.7435,-118.7531,32.7435,-118.7531,2018-01-15T06:21:03Z,2018-01-15T06:21:03Z,Night,0.975281939442879,1236.211,10.06,58.86128165209516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123916,124977,204.78399081448418,Zica-20180113-173188,1061,32.7438,-118.7635,32.7438,-118.7635,32.7438,-118.7635,2018-01-15T07:13:16Z,2018-01-15T07:13:16Z,Night,NA,1296.243,9.36,47.49470387787392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126669,129911,1439.914217420162,Zica-20180113-173188,3242,32.7332,-118.7932,32.7332,-118.7932,32.7332,-118.7932,2018-01-15T07:59:09Z,2018-01-15T07:59:09Z,Night,1.1880537912682139,1429.644,4.84,77.06529009350709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130076,131131,279.21011198832156,Zica-20180113-173188,1055,32.7272,-118.8037,32.7272,-118.8037,32.7272,-118.8037,2018-01-15T08:55:56Z,2018-01-15T08:55:56Z,Night,1.1702178483167898,1440.55,5.4,205.84955763913166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131276,132752,404.12143600834474,Zica-20180113-173188,1476,32.7311,-118.8153,32.7311,-118.8153,32.7311,-118.8153,2018-01-15T09:15:56Z,2018-01-15T09:15:56Z,Night,NA,1444.259,5.6,224.76471277972254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133299,136908,1534.3646958649626,Zica-20180113-173188,3609,32.7368,-118.8346,32.7368,-118.8346,32.7368,-118.8346,2018-01-15T09:49:39Z,2018-01-15T09:49:39Z,Night,NA,1450.868,5.8,246.25049901838202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
