tag_id,foraging_dive_id,dive_cycle_start_sec,dive_cycle_end_sec,dive_cycle_dur_sec,fd_end_sec,fd_dur_sec,fd_start_UTC,fd_max_depth,fd_breath_count_post_dive,n_shallow_dives,fd_surface_interval,dive_cycle_surface_sec,dive_cycle_breath_count,fd_bathy,fd_bathy_slope,fd_bathy_aspect,bathy_source,bathy_radius_km,lat_initial,lon_initial,lat_final,lon_final,gps_fd_dist_km,gps_dive_cycle_path_km,horiz_speed_mean_km_h,solar_phase_initial,solar_phase_final,lunar_phase,quarter_of_year,n_clicks,click_start_sec,click_end_sec,click_dur_sec,click_start_depth,click_end_depth,click_min_depth,click_max_depth,dive_to_click1_sec,nonfocal_click_start_sec,nonfocal_click_end_sec,nonfocal_click_start_depth,nonfocal_click_end_depth,nonfocal_click_min_depth,nonfocal_click_max_depth,n_nonfocal_clicks,n_buzzes,buzz_mean_depth,buzz_median_depth,buzz_sd_depth,buzz_iqr_depth,buzz_min_depth,buzz_max_depth,buzz_mean_dur,buzz_median_dur,buzz_sd_dur,buzz_iqr_dur,buzz_min_dur,buzz_max_dur,gps_dive_cycle_net_km,turn_angle_rad,tortuosity,model_fnames,model_ids,model_data_source,model_sonar_type,model_rl_max_depth,model_rl_min,model_rl_max,model_rl_median,echosounder_n_pings,mfa_n_pings,echosounder_ping_dur_mean_sec,mfa_ping_dur_mean_sec,echosounder_ping_dur_min_sec,mfa_ping_dur_min_sec,echosounder_ping_dur_max_sec,mfa_ping_dur_max_sec,echosounder_bb_rms_min,mfa_bb_rms_min,echosounder_bb_rms_max,mfa_bb_rms_max,echosounder_bb_rms_median,mfa_bb_rms_median,echosounder_bb_rms_mean,mfa_bb_rms_mean,explosive_n_pings,explosive_ping_dur_mean_sec,explosive_ping_dur_min_sec,explosive_ping_dur_max_sec,explosive_bb_rms_min,explosive_bb_rms_max,explosive_bb_rms_median,explosive_bb_rms_mean
Zica-20180113-173188,11,93059,103194,10135,97237,4178,2018-01-14T22:38:59Z,1516.679708714991,NA,4,5957,778,0,1485.661,6.8,33.93845419698147,NEPAC,1,32.734,-118.8149,32.7096,-118.8017,1.4861731077244265,4.202304791810915,1.502761224845465,Day,Dusk,0.04133283234166213,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9754789170357845,-3.0381820506791093,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,12,103194,112626,9432,107092,3898,2018-01-15T01:27:54Z,1442.206430141962,NA,5,5534,1589,0,1407.656,9.45,223.88462795411883,NEPAC,1,32.7096,-118.8017,32.731,-118.7692,1.7972001341667636,4.614874020137313,1.7484262757834483,Dusk,Night,0.037025998010807026,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.862013993511084,1.8037420655490886,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,13,112626,120783,8157,115855,3229,2018-01-15T04:05:06Z,1111.5687411420688,NA,4,4928,744,0,1344.682,12.6,65.96927696911376,NEPAC,1,32.731,-118.7692,32.7509,-118.7562,0.3067376797573397,2.9586173968870737,1.3160784170015403,Night,Night,0.033221709540414146,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5209215633348343,0.40448614666537236,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,14,120783,126669,5886,123756,2973,2018-01-15T06:21:03Z,1197.2199318515814,NA,2,2913,736,0,1254.742,9.7,54.49015878278897,NEPAC,1,32.7509,-118.7562,32.7431,-118.7805,0.8705682940414036,3.4410268515713707,2.1432001151655595,Night,Night,0.03009148054743077,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4361198587422153,2.4380735345224807,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,15,126669,133299,6630,129911,3242,2018-01-15T07:59:09Z,1439.914217420162,NA,3,3388,622,0,1363.955,4.85,81.8753577489677,NEPAC,1,32.7431,-118.7805,NA,NA,1.6193620654402905,3.977633705025294,NA,Night,Night,0.027925453036162395,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.522816995790618,0.024331198208301645,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,16,133299,158277,24978,136908,3609,2018-01-15T09:49:39Z,1534.3646958649626,NA,13,21369,1547,0,1486.136,6.75,43.06484069029904,NEPAC,1,32.7311,-118.8153,32.6908,-118.8537,1.916302412736505,14.76662977362459,2.091755220943123,Night,Day,0.02557926596808413,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.738995699564435,0.5052740334271612,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,17,158277,169110,10833,162098,3821,2018-01-15T16:45:57Z,1143.6597283445897,NA,5,7012,584,0,1114.533,9.5,225.2875154399893,NEPAC,1,32.6908,-118.8537,32.7065,-118.7783,1.882903257775654,7.434199209507527,2.476690464022497,Day,Day,0.01764017760684372,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.281456522039004,2.490912799443451,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,18,169110,182138,13028,174359,5249,2018-01-15T19:46:30Z,1481.6178097217437,NA,6,7779,661,0,1461.149,9.4,231.61526831333532,NEPAC,1,32.7065,-118.7783,32.7291,-118.7751,2.497978184242219,4.24416889028903,1.1647360882025086,Day,Day,0.014644046833255764,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.524233115367717,1.2098704830881928,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,19,182138,193877,11739,186277,4139,2018-01-15T23:23:38Z,1271.4255471652727,NA,6,7600,759,0,1389.274,11.8,47.24051259644352,NEPAC,1,32.7291,-118.7751,32.6914,-118.7457,2.658006709578836,6.320708832867791,1.963461195817072,Day,Night,0.011403244648009736,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.007812452346917,-2.4394541286118194,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,20,193877,205511,11634,198542,4665,2018-01-16T02:39:17Z,1145.1398438454444,NA,6,6969,1150,0,1401.635,11.45,157.17649337143098,NEPAC,1,32.6914,-118.7457,32.6973,-118.7574,1.6279320397578696,4.93331003075355,1.5149634147157534,Night,Night,0.008824659938786672,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2774452405970793,-2.6916165831072854,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,21,205511,217804,12293,209183,3672,2018-01-16T05:53:11Z,1504.2879978434196,NA,8,8621,887,0,1443.498,9.65,175.1912132853397,NEPAC,1,32.6973,-118.7574,32.7147,-118.7705,1.4654030531077604,3.72884749712722,1.0886263068411315,Night,Night,0.0065909301496999695,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2874076764463704,-0.46621292793242847,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,22,217804,230940,13136,221300,3496,2018-01-16T09:18:04Z,1400.486162337582,NA,8,9640,1241,0,1457.698,12.4,96.45490947692366,NEPAC,1,32.7147,-118.7705,32.7268,-118.8157,2.621776747851933,6.2666113432053745,1.723701164084608,Night,Night,0.004581020582085316,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.444739436989843,0.6971071068931586,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,23,230940,241357,10417,235048,4108,2018-01-16T12:57:00Z,1575.3566938130273,NA,5,6309,619,0,1477.905,8.15,214.715650307996,NEPAC,1,32.7268,-118.8157,32.7401,-118.7512,3.2751991402064307,6.800752986786076,2.357507053676444,Night,Dawn,0.002833594467821221,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2231116029537095,-2.595094733962126,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,24,241357,250711,9354,245414,4057,2018-01-16T15:50:37Z,1188.592506185655,NA,4,5297,660,0,1240.537,8.65,76.62083627754612,NEPAC,1,32.7401,-118.7512,32.7123,-118.7558,NA,1.8672989174458738,0.7255559743988285,Day,Day,0.0017434623469910204,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.113036653195196,-1.9493781240616261,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,25,250711,261179,10468,255049,4338,2018-01-16T18:26:31Z,1426.0414534510928,NA,5,6130,617,0,1356.26,15.75,84.33732845808288,NEPAC,1,32.7123,-118.7558,32.7256,-118.7466,1.103988070678471,5.440819908167686,1.8474770486138155,Day,Day,9.88351168332624e-4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.708628385957408,2.7514910670454613,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zica-20180113-173188,26,261179,269946,8767,264399,3220,2018-01-16T21:20:59Z,1102.6897218743122,NA,5,5547,791,0,1238.187,6.95,56.82138556135675,NEPAC,1,32.7256,-118.7466,32.7306,-118.7243,2.004123862473717,5.6179929763902905,2.3114028245720055,Day,Day,3.9526923583499407e-4,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1626688118246244,-0.7823124857814329,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
