start,end,max,tmax,dive_dur_sec,n_clicks,click_start_sec,click_end_sec,click_dur_sec,dive_to_click1_sec,focal_click_UID,focal_clicks,n_focal_clicks,nonfocal_click_UID,click_start_depth,click_end_depth,click_min_depth,click_max_depth,n_buzzes,buzz_mean_depth,buzz_median_depth,buzz_sd_depth,buzz_iqr_depth,buzz_min_depth,buzz_max_depth,n_mfa_pings,mfa_bb_rms_min,mfa_bb_rms_median,mfa_bb_rms_mean,lat_initial,lon_initial,lat_final,lon_final,lat_last_known,lon_last_known,start_UTC,start_local,solar_phase,distance_traveled_km,bathy,bathy_slope,bathy_aspect
2382,3350,286.73865807869225,2872,968,0,NA,NA,NA,NA,"NA",Absent,0,"NA",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32.7592,-118.9226,NA,NA,32.7592,-118.9226,2019-10-12T17:23:41Z,2019-10-12T17:23:41Z,Day,NA,1418.081,7.08,248.07892919544506
11668,12906,316.589447,12290,1238,0,NA,NA,NA,NA,"NA",Absent,0,"NA",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32.7268,-118.8901,32.7268,-118.8901,32.7268,-118.8901,2019-10-12T19:58:27Z,2019-10-12T19:58:27Z,Day,NA,1306.864,10.22,230.92861281653722
14522,16010,306.579681,14992,1488,0,NA,NA,NA,NA,"NA",Absent,0,"NA",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32.7168,-118.8759,32.7168,-118.8759,32.7168,-118.8759,2019-10-12T20:46:01Z,2019-10-12T20:46:01Z,Day,0.5731041792692397,1268.084,11.14,220.6369473452575
16088,17548,298.339935,16838,1460,0,NA,NA,NA,NA,"NA",Absent,0,"NA",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,32.7136,-118.8711,32.7136,-118.8711,32.7136,-118.8711,2019-10-12T21:12:07Z,2019-10-12T21:12:07Z,Day,4.251105122560126,1252.148,11.56,223.1398169424953
